"MESH_ID","UMLS_CUI","ICD10CM_CODE","DRESCP"
"C536687","C0265210","Q87.3","Weaver syndrome"
"C538081","C0345360","Q74.1","Congenital dislocation of patella"
"C537373","C0521619","Q62.39","Ureteropelvic junction obstruction NOS"
"C562503","C0265242","Q18.2","Otocephaly"
"D009421","C0497552","Q07.9","Congenital anomaly NOS of nervous system"
"D010411","C0030848","N48.6","Plastic induration of penis"
"D011662","C0034084","Q24.3","Subvalvular pulmonic stenosis"
"D016109","C0079683","Q81.1","Herlitz' syndrome"
"D003665","C0011119","T70.3","Compressed-air disease"
"D016506","C0085106","Q82.8","Benign familial pemphigus [Hailey-Hailey]"
"D003680","C0011168","R13.10","Difficulty in swallowing NOS"
"D005348","C0016034","N60","fibrocystic mastopathy"
"D014947","C3263723","T14.90","Injury NOS"
"D002538","C0007772","Q28.2","Arteriovenous malformation of brain NOS"
"D007715","C0022739","Q87.2","Klippel-Trenaunay-Weber syndrome"
"D017880","C0206762","Q74.9","Congenital anomaly of limb(s) NOS"
"D011038","C0032339","Q82.8","Congenital poikiloderma"
"D003294","C0009952","R56.00","Febrile convulsion NOS"
"D004933","C0014850","Q39.0","Atresia of esophagus NOS"
"D012783","C0037005","S43.0","Dislocation of glenohumeral joint"
"D060725","C0269185","N85.4","Retroversion of uterus"
"D054061","C0042951","T79.6","Volkmann's ischemic contracture"
"D009041","C0001882","T75.3","Airsickness"
"D003103","C0009363","Q13.0","Coloboma NOS"
"D009041","C0036494","T75.3","Seasickness"
"D047688","C0006144","N60.0","Cyst of breast"
"D006831","C0020224","O40","hydramnios"
"D001017","C0003492","Q25.1","Coarctation of aorta (preductal) (postductal)"
"D001164","C1956223","Q27.3","Arteriovenous aneurysm"
"D008467","C0025037","Q43.0","Persistent omphalomesenteric duct"
"D008467","C0025037","Q43.0","Persistent vitelline duct"
"D014514","C1456865","N20.1","Ureteric stone"
"D003965","C0011981","Q79.1","Eventration of diaphragm"
"D010020","C0029445","M87.9","Necrosis of bone NOS"
"D001247","C0004093","R53.1","Asthenia NOS"
"D004461","C0013537","O15.9","Eclampsia NOS"
"D005221","C0015672","R53.83","Fatigue NOS"
"D009393","C0027697","N05","nephritis NOS"
"D014082","C0040441","S02.5","Broken tooth"
"D014548","C0042021","N36.0","Urinary fistula NOS"
"D059606","C0085602","R63.1","Excessive thirst"
"D059787","C0184567","R52","Acute pain NOS"
"D059246","C0231835","R06.82","Tachypnea NOS"
"D065173","C0269286","O00.8","Cornual pregnancy"
"D000069856","C0333014","N20.0","Staghorn calculus"
"D000071576","C0332679","T14.8","Crush injury NOS"
"C536139","C0266177","Q43.8","Megaloduodenum"
"C536003","C0266268","Q45.3","Accessory pancreas"
"C535761","C3501848","N04","congenital nephrotic syndrome"
"C573898","C0241397","Q74.0","Triphalangeal thumb"
"C562563","C0266200","Q43.8","Microcolon"
"C562564","C0266251","Q44.0","Congenital absence of gallbladder"
"D010468","C0751419","R41.4","Sensory neglect"
"D011681","C0271135","Q13.2","Corectopia"
"D003398","C0265535","Q75.0","Trigonocephaly"
"D014060","C0025988","Q38.3","Hypoglossia"
"D016512","C0160087","S93.40","Sprain of ankle NOS"
"D016512","C0160087","S93.40","Sprained ankle NOS"
"D008599","C0032519","N92.0","Polymenorrhea"
"D000375","C0231337","R41.81","Senility NOS"
"D007247","C0917730","N97","sterility, female NOS"
"D006359","C0018845","T67.1","Heat collapse"
"C538556","C1306856","D51.1","Imerslund (Gräsbeck) syndrome"
"C537268","C0452122","T59.2X1","Toxic effect of formaldehyde NOS"
"D002836","C0008533","D67","Christmas disease"
"D012569","C0036363","F21","Schizotypal personality disorder"
"D004211","C0012739","D65","Consumption coagulopathy"
"D044342","C0162429","E46","Malnutrition NOS"
"D012753","C0036939","F24","Folie à deux"
"D012753","C0036939","F24","Induced psychotic disorder"
"D019957","C0011757","F82","Developmental dyspraxia"
"D009110","C0026785","F68.1","Münchausen's syndrome"
"D010259","C1456784","F22","Paranoid psychosis"
"D009103","C0026769","G35","Multiple sclerosis NOS"
"D006467","C0019069","D66","Classical hemophilia"
"D000058","C0000921","W19","Accidental fall NOS"
"D015266","C0007129","C4A.9","Merkel cell carcinoma NOS"
"D055008","C0003165","J60","Coalworker's lung"
"D055008","C0003165","J60","Black lung disease"
"D012569","C0023105","F21","Latent schizophrenic reaction"
"D013736","C0153594","C62.90","Malignant neoplasm of testis NOS"
"D001471","C0004763","K22.7","Barrett's syndrome"
"D012614","C0036474","E54","Scurvy"
"D004415","C0013395","K30","Indigestion"
"D013575","C0039070","R55","Fainting"
"D004342","C0013182","T88.7","Drug hypersensitivity NOS"
"D054747","C0019623","C96.A","Malignant histiocytosis"
"D012569","C0033823","F21","Pseudoneurotic schizophrenia"
"D065227","C0274435","T80.92","Transfusion reaction NOS"
"D001195","C0003949","J61","Asbestosis"
"D004332","C0013142","W74","Drowning NOS"
"D007899","C0023292","Y99.8","Leisure activity"
"D010996","C0032227","J90","Pleural effusion NOS"
"D013342","C0038506","F80.81","Stuttering NOS"
"D018358","C0206754","D3A.8","Neuroendocrine tumor NOS"
"D055665","C0085650","D65","Purpura fulminans"
"C562868","C0398648","D69.51","PTP"
"D011470","C1739363","N40","adenofibromatous hypertrophy of prostate"
"D054541","C0555026","Z63.5","Marital estrangement"
"D013064","C0009090","F80.81","Cluttering NOS"
"D065227","C0398648","D69.51","PTP"
"D011502","C0086588","E41","Severe malnutrition with marasmus"
"D002658","C0008073","F89","Developmental disorder NOS"
"D002836","C0008533","D67","Plasma thromboplastin component [PTC] deficiency"
"D010300","C0030567","G20","Paralysis agitans"
"D001206","C0003969","E54","Deficiency of vitamin C"
"D003731","C0011334","K02","dental cavities"
"D003731","C0011334","K02","tooth decay"
"D006362","C0018854","C88.2","Franklin disease"
"D012753","C0036939","F24","Induced paranoid disorder"
"D019965","C0029227","F09","Organic mental disorder NOS"
"D019957","C0011757","F82","Developmental coordination disorder"
"D004915","C0023440","C94.00","Acute erythroid leukemia NOS"
"D016518","C0027832","Q85.02","Acoustic neurofibromatosis"
"D038223","C0546983","F07.81","Post-traumatic brain syndrome, nonpsychotic"
"D006432","C0018995","E83.110","Bronzed diabetes"
"D006467","C0019069","D66","Hemophilia A"
"D006467","C0019069","D66","Hemophilia NOS"
"D055008","C0003165","J60","Anthracosis"
"D002607","C0205713","G60.0","Roussy-Levy syndrome"
"D004244","C0220870","R42","Light-headedness"
"D004802","C0014458","J82","Tropical (pulmonary) eosinophilia NOS"
"D011535","C0033770","Q79.4","Eagle-Barrett syndrome"
"D001924","C0006107","S06.0X9","Concussion NOS"
"D006407","C0238154","S06.4X9","Epidural hemorrhage NOS"
"D003139","C0009443","J00","Acute rhinitis"
"D003139","C0009443","J00","Coryza (acute)"
"D003139","C0009443","J00","Infective rhinitis"
"D007119","C0020981","C86.5","Angioimmunoblastic lymphadenopathy with dysproteinemia (AILD)"
"D004415","C0013395","R10.13","Dyspepsia"
"D007943","C0023443","C91.40","Hairy cell leukemia NOS"
"D011045","C0032357","Q79.8","Poland syndrome"
"D009395","C0041349","N16","Tubulo-interstitial nephritis"
"D008219","C0024286","A55","Lymphogranuloma inguinale"
"D014718","C0042580","N13.70","Vesicoureteral-reflux NOS"
"D029481","C0008677","J42","Chronic bronchitis NOS"
"D005921","C0017658","N08","Glomerulonephritis"
"D000059","C0000924","X58","Accident NOS"
"D000874","C0003164","J60","Anthracosilicosis"
"D001991","C0006277","J40","Bronchitis NOS"
"D004775","C0014394","R32","Enuresis NOS"
"D005242","C0015732","R15.9","Fecal incontinence NOS"
"D007732","C0022806","E40","Severe malnutrition with nutritional edema with dyspigmentation of skin and hair"
"D009917","C0029184","S02.8","Fracture of orbit NOS"
"D011704","C0034186","N16","Pyelonephritis"
"D013715","C0039515","Y93.73","Activity, tennis"
"D003865","C1571983","F22","Paraphrenia (late)"
"D000544","C0011265","F03","Presenile psychosis NOS"
"D000377","C0395013","F88","Developmental agnosia"
"D007035","C0274285","T68","Accidental hypothermia"
"D011681","C0751457","H21.56","Rupture of sphincter, pupil"
"D065227","C2921022","E87.71","TACO"
"D012569","C0021151","F21","Prepsychotic schizophrenia"
"D012569","C0021151","F21","Prodromal schizophrenia"
"D011470","C0005001","N40","benign hypertrophy of the prostate"
"D012569","C0033836","F21","Pseudopsychopathic schizophrenia"
"D012569","C0036343","F21","Borderline schizophrenia"
"D002836","C0008533","D67","Hemophilia B"
"D009456","C0027831","Q85.01","Von Recklinghausen disease"
"D016262","C0080040","G14","postpolio myelitic syndrome"
"D019282","C0043046","R64","Wasting syndrome"
"D020261","C0311375","T57.0X1","Toxic effect of arsenic and its compounds NOS"
"D007674","C0022658","N08","Nephropathy"
"D007855","C0023176","T56.0X1","Toxic effects of lead and its compounds NOS"
"D000341","C0001723","F39","Affective psychosis NOS"
"D008630","C0025427","T56.1X1","Toxic effects of mercury and its compounds NOS"
"D010259","C1456784","F22","Paranoia"
"D001523","C0004936","F99","Mental illness NOS"
"D006105","C0018203","D71","Congenital dysphagocytosis"
"D006475","C0019088","P53","Vitamin K deficiency of newborn"
"D009103","C0026769","G35","Generalized multiple sclerosis"
"D002006","C0006309","A23","Malta fever"
"D002006","C0006309","A23","Mediterranean fever"
"D003873","C0011606","L26","Hebra's pityriasis"
"D014717","C0042571","R42","Vertigo NOS"
"D012128","C0035222","J80","Adult hyaline membrane disease"
"D012514","C0036220","C46.9","Kaposi's sarcoma of unspecified site"
"D012569","C0023105","F21","Latent schizophrenia"
"D001471","C0004763","K22.70","Barrett's esophagus NOS"
"D001471","C0004763","K22.7","Barrett's disease"
"D005157","C0015468","R51","Facial pain NOS"
"D006177","C0018418","N62","Gynecomastia"
"D020206","C0475073","S06.6X9","Traumatic subarachnoid hemorrhage NOS"
"D051436","C0403447","N18.9","Chronic renal insufficiency"
"D003139","C0009443","J00","Infective nasopharyngitis NOS"
"D003139","C0009443","J00","Nasal catarrh, acute"
"D003324","C0010054","I25.10","Atherosclerotic heart disease NOS"
"D019462","C0042420","R55","Vasovagal attack"
"D006470","C0019080","R58","Hemorrhage NOS"
"D007251","C0021400","J11.1","Influenza NOS"
"D009395","C0027707","N12","Interstitial nephritis NOS"
"D005076","C0015230","R21","rash NOS"
"D002276","C0007095","D3A.00","Carcinoid tumor NOS"
"D011657","C1527407","J82","Eosinophilic pneumonia"
"D005538","C0016517","Y93.61","Activity, football NOS"
"D002145","C0376154","L84","Callus"
"D009304","C0027441","J00","Nasopharyngitis NOS"
"D009393","C0027697","N08","Nephritis"
"D011702","C0034183","N12","Pyelitis NOS"
"D011704","C0034186","N12","Pyelonephritis NOS"
"D012830","C0037118","J65","Silicotuberculosis"
"D013406","C0038663","X71-X83","Suicide (attempted)"
"D014511","C0041948","N19","Uremia NOS"
"D050497","C0595939","P95","Stillbirth NOS"
"C566832","C0263385","L83","Confluent and reticulated papillomatosis"
"D000544","C0011265","F03","Presenile dementia NOS"
"D065227","C0221123","T80.919","Hemolytic transfusion reaction NOS"
"D008607","C0020796","F73","Profound mental subnormality"
"C538130","C0263382","L87.0","Kyrle disease"
"D004673","C0751101","G04.02","Encephalomyelitis, post immunization"
"D004927","C0014836","B96.20","Escherichia coli [E. coli] NOS"
"D008607","C0917816","F79","Mental deficiency NOS"
"D016918","C0085435","M02.3","Reactive arthritis"
"D002252","C0392622","T53.0X1","Toxic effects of carbon tetrachloride NOS"
"D015624","C0022972","G70.80","Lambert-Eaton syndrome NOS"
"D004827","C0014544","G40.909","Seizure disorder NOS"
"D001102","C0003723","A94","Arbovirus infection NOS"
"D008268","C0242383","H35.30","Age-related macular degeneration"
"D016736","C0085278","D68.61","Anticardiolipin syndrome"
"D016736","C0085278","D68.61","Antiphospholipid antibody syndrome"
"D018888","C0282513","G31.01","Primary progressive aphasia"
"D054990","C1800706","J84.112","Cryptogenic fibrosing alveolitis"
"D003025","C0009081","Q66.89","Congenital talipes NOS"
"D011015","C0085740","J95.4","Mendelson's syndrome"
"D005585","C0016627","J09.X","Bird influenza"
"D017700","C0149649","I75","cholesterol embolism"
"D007925","C0023370","I74.09","Aortic bifurcation syndrome"
"D007925","C0023370","I74.09","Aortoiliac obstruction"
"D007925","C0023370","I74.09","Leriche's syndrome"
"D020238","C0234512","R48.3","Prosopagnosia"
"D017086","C0002875","D56.1","Thalassemia major"
"D013036","C0037769","G40.82","Infantile spasms"
"D013036","C0037769","G40.82","West's syndrome"
"D018192","C0751674","J84.81","Lymphangiomyomatosis"
"D013036","C1527366","G40.82","Salaam attacks"
"D011030","C0149781","J93.83","Spontaneous pneumothorax NOS"
"D008219","C0024286","A55","Climatic or tropical bubo"
"D000069290","C0267716","K43.2","Incisional hernia NOS"
"D011658","C0085786","J84.112","Idiopathic fibrosing alveolitis"
"D003704","C0497327","F03.90","Dementia NOS"
"D018589","C0152020","K31.84","Gastroparalysis"
"D004352","C0949285","Z16.20","Resistance to antibiotics NOS"
"D004832","C4317339","G40.A","Juvenile absence epilepsy"
"D012640","C0494475","G40.4","Grand mal seizure NOS"
"D006128","C0018270","D49","'growth' NOS"
"D006484","C0019112","K64","piles"
"D007035","C0020672","T68","Hypothermia NOS"
"D012532","C0036262","B86","Sarcoptic itch"
"D013753","C0039649","Z16.29","Resistance to tetracyclines"
"D018550","C0242771","Z16.19","Resistance to cephalosporins"
"D050497","C0595939","P95","Deadborn fetus NOS"
"C562723","C3203346","D68.32","Hyperheparinemia"
"C536821","C2225524","N62","Hypertrophy of breast NOS"
"D020787","C1956261","Q28.3","Developmental venous anomaly"
"D024741","C0700053","I42.1","Hypertrophic subaortic stenosis (idiopathic)"
"D011470","C0005001","N40","BPH"
"D001484","C0037582","Y93.64","Activity, softball"
"C538157","C1861303","M04.8","Blau syndrome"
"C536253","C1858361","M04.8","Pyogenic arthritis, pyoderma gangrenosum, and acne syndrome [PAPA]"
"C536394","C0268059","P59.29","Neonatal giant cell hepatitis"
"C537839","C1864997","M04.8","Majeed syndrome"
"C536281","C0020807","J84.03","Essential brown induration of lung"
"D003074","C0009250","R91.1","Coin lesion lung"
"D015208","C0037367","J70.5","Smoke inhalation NOS"
"D008415","C0024899","D89.40","Mast cell activation syndrome, NOS"
"D013494","C0038868","G23.1","Progressive supranuclear palsy"
"D018887","C0282512","G40.8","Landau-Kleffner syndrome"
"D003025","C0009081","Q66.89","Congenital clubfoot NOS"
"D054446","C1301362","C86.6","Primary cutaneous CD30-positive large T-cell lymphoma"
"D005585","C0016627","J09.X","Avian influenza"
"D017036","C0085543","G40.1","Epilepsia partialis continua [Kozhevnikof]"
"D065886","C1535926","F89","Neurodevelopmental disorder NOS"
"D014474","C0041657","R40.20","Unconsciousness NOS"
"D054038","C3160858","I67.83","PRES"
"D006555","C0019326","K43.9","Ventral hernia NOS"
"D006938","C0745103","E78.00","Fredrickson's hyperlipoproteinemia, type IIa"
"D011658","C0085786","J84.114","Hamman-Rich syndrome"
"D006423","C0271202","H53.46","Homonymous hemianopia"
"D006423","C0271202","H53.46","Homonymous hemianopsia"
"D003128","C0009421","R40.20","Coma NOS"
"D006423","C0544680","H53.46","Quadrant anopia"
"D012279","C0035579","E55.0","Infantile osteomalacia"
"D017563","C0206061","J84.89","Interstitial pneumonitis"
"D000668","C0002682","Z16.11","Resistance to ampicillin"
"D004351","C0013203","Z16.30","Drug resistance NOS"
"D011030","C0032326","J93.9","Pneumothorax NOS"
"D054078","C0342731","M04.1","Mevalonate kinase deficiency"
"D000070636","C0263912","M75.1","Rotator cuff syndrome"
"D013203","C1318973","A49.01","Staphylococcus aureus infection NOS"
"D011470","C0005001","N40","benign prostatic hypertrophy"
"C557815","C2748507","M04.8","Deficiency of interleukin 1 receptor antagonist [DIRA]"
"D013705","C0039494","M26.609","Temporomandibular joint disorder NOS"
"D019048","C0282612","N42.31","PIN"
"D010505","C0031069","M04.1","Familial Mediterranean fever"
"D011274","C0032994","O00.10","Tubal pregnancy NOS"
"D011269","C0032984","O00.00","Abdominal pregnancy NOS"
"D000070642","C0876926","S06.9","Traumatic brain injury NOS"
"D056587","C0268390","M04.2","Muckle-Wells syndrome"
"D014098","C0040460","K08.89","Toothache NOS"
"D000067877","C1510586","F84.0","Autism spectrum disorder"
"D010923","C0032046","O44.0","Placenta previa NOS"
"D056587","C0343068","M04.2","Familial cold autoinflammatory syndrome"
"D000071243","C0276289","A92.5","Zika NOS"
"D020345","C0520459","K55.30","Necrotizing enterocolitis, NOS"
"D001024","C0003507","Q25.1","Stenosis of aorta"
"D018149","C0271650","R73.03","Latent diabetes"
"D008531","C0025160","K59.39","Megacolon NOS"
"D010048","C0029927","N83.209","Ovarian cyst, NOS"
"D014891","C0043095","X50.0","Lifting weights"
"D006689","C1266194","C81.4","Lymphocyte-rich classical Hodgkin lymphoma"
"C536136","C0264573","J98.59","Fibrosis of mediastinum"
"D010547","C0031190","P29.30","Persistent pulmonary hypertension of newborn"
"D005329","C0015957","F65.0","Fetishistic disorder"
"D011271","C0032987","O00.90","Ectopic pregnancy NOS"
"D009771","C0028768","F42.8","Anancastic neurosis"
"D009771","C0028768","F42.8","Obsessive-compulsive neurosis"
"D046110","C0341934","O13","transient hypertension of pregnancy"
"D065172","C0032991","O00.20","Ovarian pregnancy NOS"
"D006938","C0020445","E78.00","Hyperbetalipoproteinemia"
"D056587","C0409818","M04.2","Chronic infantile neurological, cutaneous and articular syndrome [CINCA]"
"D060050","C0340288","I20.8","Stable angina"
"D056587","C0343068","M04.2","Familial cold urticaria"
"D007172","C0242350","F52.21","Erectile disorder"
"D053840","C1142166","I49.8","Brugada syndrome"
"D017492","C0022603","L82","basal cell papilloma"
"D000071243","C0276289","A92.5","Zika virus infection"
"D014582","C0042111","D47.01","Urticaria pigmentosa"
"D004541","C0013743","I27.83","Eisenmenger's complex"
"D008586","C0025295","G00.1","Meningtitis due to Streptococcal pneumoniae"
"D002389","C0007398","F06.1","Catatonia NOS"
"D007415","C0021843","K56.609","Intestinal obstruction NOS"
"D054160","C0232257","R01.1","Systolic murmur NOS"
"D000068099","C4042925","F43.9","Trauma and stressor-related disorder, NOS"
"D000073872","C0221214","Q25.45","Vascular ring of aorta"
"D006689","C0152266","C81.2","Mixed cellularity classical Hodgkin lymphoma"
"D017109","C0162549","G25.71","Tardive akathisia"
"D006689","C0152267","C81.3","Lymphocyte depleted classical Hodgkin lymphoma"
"D003882","C0221056","M33.13","Dermatomyositis NOS"
"D034701","C0024901","D47.01","Diffuse cutaneous mastocytosis"
"D012448","C0036913","F65.52","Sexual sadism disorder"
"C536394","C0268059","P78.84","Neonatal hemochromatosis"
"C536369","C1387797","B81.3","Angiostrongylus costaricensis"
"D005715","C0030662","F63.0","Gambling disorder"
"D008224","C0024301","C82","Follicular lymphoma"
"D016403","C0079744","C83.3","Diffuse large B-cell lymphoma"
"D000544","C0002395","G30","Alzheimer's disease"
"D007319","C0917801","G47.0","Insomnia"
"D008577","C0348375","C70","Malignant neoplasm of meninges"
"D012507","C0036202","D86","Sarcoidosis"
"D013313","C0038436","F43.1","Post-traumatic stress disorder (PTSD)"
"D013832","C0039841","E51","Thiamine deficiency"
"D006976","C0020542","I27.20","Pulmonary hypertension NOS"
"D005162","C0015480","F68.1","Factitious disorder"
"D006725","C0019911","B76","Hookworm diseases"
"D008415","C0024899","D47.09","Mastocytosis NOS"
"D009617","C0028242","A43","Nocardiosis"
"D014808","C0042870","E55","Vitamin D deficiency"
"D001714","C0005586","F31.9","Manic depression"
"D010698","C0349231","F40","Phobic anxiety disorders"
"D009293","C0027412","F11","Opioid related disorders"
"D008224","C0079758","C82.1","Follicular lymphoma grade II"
"D051298","C0032816","G44.3","Post-traumatic headache"
"D000326","C0162309","E71.52","X-linked adrenoleukodystrophy"
"D003027","C0009088","G44.02","Chronic cluster headache"
"D014846","C0375071","C51","Malignant neoplasm of vulva"
"D054705","C0343115","D47.01","Solitary mastocytoma"
"D015001","C0043388","A66","Yaws"
"D002177","C0006840","B37","Candidiasis"
"D006929","C0020428","E26","Hyperaldosteronism"
"D013132","C0004138","G11","Hereditary ataxia"
"D034801","C0272202","D47.09","Extracutaneous mastocytoma"
"D054517","C0149507","H05.01","Cellulitis of orbit"
"D019970","C0600427","F14.2","Cocaine dependence"
"D065627","C3203102","I27.0","Idiopathic pulmonary arterial hypertension"
"D006333","C0235527","I50.81","Right ventricular failure"
"D065627","C0340543","I27.0","Heritable pulmonary arterial hypertension"
"D017043","C0007933","H00.1","Chalazion"
"D003320","C0010043","H16.0","Corneal ulcer"
"D010229","C0030409","B41","Paracoccidioidomycosis"
"D014582","C0042111","D47.01","Maculopapular cutaneous mastocytosis"
"D015140","C0011269","F01","Vascular dementia"
"D009198","C0027030","B87","Myiasis"
"D001013","C0003489","Q25.49","Aortic arch"
"D018781","C0033893","G44.2","Tension-type headache"
"D006849","C0020255","G91","Hydrocephalus"
"D007946","C0023461","C94.3","Mast cell leukemia"
"D003236","C0009774","B30","Viral conjunctivitis"
"D060825","C1270972","G31.84","Mild neurocognitive disorder"
"D000072861","C0031572","F40.1","Social anxiety disorder"
"D014901","C0043124","A92.3","West Nile virus infection"
"D000881","C0003175","A22","Anthrax"
"D001228","C0004030","B44","Aspergillosis"
"D001035","C0003534","H27.0","Aphakia"
"D002825","C0008513","H30.9","Unspecified chorioretinal inflammation"
"D004887","C1276801","A26","Erysipeloid"
"D008708","C0025637","D74","Methemoglobinemia"
"C540694","C2584620","D68.5","Primary thrombophilia"
"C536664","C1832200","E71.51","Disorders of peroxisome biogenesis"
"D014947","C0043250","T14.8","Wound NOS"
"D003882","C0221056","M33.1","Adult dermatomyositis"
"D034721","C0272203","D47.02","Indolent systemic mastocytosis"
"D008398","C0036908","F65.51","Sexual masochism disorder"
"C535456","C0410422","M86.3","Chronic multifocal osteomyelitis"
"D000160","C0001163","H93.3","Disorders of acoustic nerve"
"D003731","C0011334","K02","Dental caries"
"D013167","C0038013","M45","Ankylosing spondylitis"
"D000505","C0162311","L64","Androgenic alopecia"
"D014060","C0040409","K14","Diseases of tongue"
"D002544","C0007785","I63","Cerebral infarction"
"D008180","C0024141","M32","Systemic lupus erythematosus (SLE)"
"D000550","C0750903","H53.03","Strabismic amblyopia"
"D045888","C1258666","M67.4","Ganglion"
"D058456","C0154832","H35.02","Exudative retinopathy"
"D043183","C0022104","K58","Irritable bowel syndrome"
"D006550","C0019288","K41","Femoral hernia"
"D003668","C0011127","L89","Pressure ulcer"
"D010211","C0030353","H46.0","Optic papillitis"
"D008575","C1527320","H81.31","Aural vertigo"
"D014581","C0042109","L50","Urticaria"
"D013086","C0037856","N44.0","Torsion of testis"
"D001845","C0005937","M85.4","Solitary bone cyst"
"D018917","C0155305","H47.01","Ischemic optic neuropathy"
"D012166","C0035317","H35.6","Retinal hemorrhage"
"D018856","C0600040","N30.1","Interstitial cystitis (chronic)"
"D012859","C1527336","M35.0","Sicca syndrome [Sjögren]"
"D017824","C0152244","M85.5","Aneurysmal bone cyst"
"D010035","C0029888","H66","Suppurative and unspecified otitis media"
"D031300","C0152026","H35.06","Retinal vasculitis"
"D013586","C0039106","M12.2","Villonodular synovitis (pigmented)"
"D002781","C0008373","H71.9","Unspecified cholesteatoma"
"D005358","C0016064","M85.0","Fibrous dysplasia (monostotic)"
"D006395","C0018924","M25.0","Hemarthrosis"
"D007738","C0022821","M40.20","Unspecified kyphosis"
"D009902","C0029134","H46","Optic neuritis"
"D010392","C0030807","L10","Pemphigus"
"D011304","C0033074","H91.1","Presbycusis"
"D013471","C0038814","L55","Sunburn"
"D000076385","C4317009","K57","Diverticular disease of intestine"
"D013285","C0152223","H50.6","Mechanical strabismus"
"D005099","C0152206","H50.11","Monocular exotropia"
"D001305","C0039491","H93.24","Temporary auditory threshold shift"
"D012607","C0152191","H53.41","Scotoma involving central area"
"D019838","C0027531","S19.9","Unspecified injury of neck"
"D017044","C0085548","Q61.1","Polycystic kidney, infantile type"
"D061247","C0161405","S04.2","Injury of trochlear nerve"
"D013576","C0039075","Q70","Syndactyly"
"D020206","C0475073","S06.6","Traumatic subarachnoid hemorrhage"
"D008471","C0025048","P24.0","Meconium aspiration"
"D055370","C0273115","S27.309","Unspecified injury of lung, unspecified"
"D014424","C0041408","Q96","Turner's syndrome"
"D007021","C0848558","Q54","Hypospadias"
"D008337","C0024692","S02.6","Fracture of mandible"
"D018805","C1719672","R65.2","Severe sepsis"
"D001237","C0004044","T71","Asphyxiation"
"D000075322","C0274869","T56.89","Toxic effects of other metals"
"D000196","C0001261","A42","Actinomycosis"
"D008224","C0024301","C82.9","Follicular lymphoma, unspecified"
"D011655","C0034065","I26","Pulmonary embolism"
"D012559","C0036341","F20","Schizophrenia"
"D013622","C0039254","B68","Taeniasis"
"D014777","C0042769","B34","Viral infection of unspecified site"
"D018798","C0162316","D50","Iron deficiency anemia"
"D000437","C0001973","F10.2","Alcohol dependence"
"D015422","C0036412","H15","Disorders of sclera"
"D007244","C0021345","B27.0","Gammaherpesviral mononucleosis"
"D015356","C0007688","H34.1","Central retinal artery occlusion"
"D008193","C0024198","A69.2","Lyme disease"
"D004675","C0014061","A84","Tick-borne viral encephalitis"
"D020338","C0751908","H81.2","Vestibular neuronitis"
"D009542","C0028064","E75.24","Niemann-Pick disease"
"D002128","C0006705","E83.5","Disorders of calcium metabolism"
"D003922","C0011854","E10","Type 1 diabetes mellitus"
"D014917","C0043167","A37.0","Whooping cough due to Bordetella pertussis"
"D002285","C0007124","D05.1","Intraductal carcinoma in situ of breast"
"D003110","C0007102","C18","Malignant neoplasm of colon"
"D006689","C1334968","C81.0","Nodular lymphocyte predominant Hodgkin lymphoma"
"D008457","C0025007","B05","Measles"
"D010262","C0030482","F65","Paraphilias"
"D015835","C0155339","H50.61","Brown's sheath syndrome"
"D058456","C0154832","H35.07","Retinal telangiectasis"
"D002819","C0152113","I02","Rheumatic chorea"
"D016411","C0079774","C84.9","Mature T/NK-cell lymphomas, unspecified"
"D020326","C0338480","G43.0","Migraine without aura"
"D023981","C0152276","C92.3","Myeloid sarcoma"
"D056806","C0154246","E72.2","Disorders of urea cycle metabolism"
"D012552","C0036323","B65","Schistosomiasis [bilharziasis]"
"D013285","C0038379","H50.5","Heterophoria"
"D001943","C0006142","C50","Malignant neoplasm of breast"
"D003047","C0009186","B38","Coccidioidomycosis"
"D007938","C0023418","C95.9","Leukemia, unspecified"
"D010051","C1140680","C56","Malignant neoplasm of ovary"
"D008881","C0149931","G43","Migraine"
"D003480","C0010481","E24","Cushing's syndrome"
"D004948","C0014877","H50.0","Esotropia"
"D010040","C0029899","H80.9","Unspecified otosclerosis"
"D014353","C0041228","B56","African trypanosomiasis"
"D002189","C0006870","F12.2","Cannabis dependence"
"D006563","C0019364","B02.3","Zoster ocular disease"
"D004405","C0013371","A03","Shigellosis"
"D018424","C0155490","H71","Cholesteatoma of middle ear"
"D018781","C0033893","G44.20","Tension-type headache, unspecified"
"D016115","C0078918","E70.32","Oculocutaneous albinism"
"D006929","C1384514","E26.0","Primary hyperaldosteronism"
"D006660","C0019655","B39","Histoplasmosis"
"D009369","C0006826","C80","Malignant neoplasm without specification of site"
"D006561","C0019348","B00","Herpesviral [herpes simplex] infections"
"D020447","C0030508","G47.5","Parasomnia"
"D000856","C0003125","F50.0","Anorexia nervosa"
"D007011","C0020626","E20","Hypoparathyroidism"
"D010874","C0031946","A67","Pinta [carate]"
"D012541","C0036285","A38","Scarlet fever"
"D014394","C0041324","A18.0","Tuberculosis of bones and joints"
"C566897","C1274789","H10.51","Ligneous conjunctivitis"
"D003027","C0393739","G44.01","Episodic cluster headache"
"D004948","C0152204","H50.01","Monocular esotropia"
"D020425","C0154744","G56.3","Lesion of radial nerve"
"D009494","C0494053","A52.1","Symptomatic neurosyphilis"
"D063371","C0395887","H74.0","Tympanosclerosis"
